Table 2 
Physical Properties of the Sample of Quiescent Galaxies


Object ID	Slitmask	R.A.	Decl.	z	sigma_e	R_e	n	q	log M_*/M_sun	log M_dyn/M_sun	
(J2000)	(J2000)	(km s^-1)	(kpc)	
14625^b	COSMOS 3	150.15839	2.4154	0.901	283 +or- 49	2.40	2.1	0.40	10.72 +or- 0.09	11.35 +or- 0.16	
51106	EGS 2	214.92057	52.8659	1.013	252 +or- 37	5.99	5.3	0.78	11.26 +or- 0.10	11.65 +or- 0.14	
28739	EGS 1	214.62827	52.7157	1.029	238 +or- 11	1.98	3.5	0.70	10.94 +or- 0.08	11.11 +or- 0.06	
33471	COSMOS 3	150.15414	2.4157	1.041	176 +or- 12	1.50	2.6	0.66	10.60 +or- 0.02	10.73 +or- 0.07	
21741	N10 (EGS)	214.98510	52.9512	1.055	211 +or- 14	2.28	2.2	0.53	10.93 +or- 0.10	11.07 +or- 0.07	
51081	EGS 2	214.90243	52.8637	1.062	233 +or- 58	4.36	2.2	0.53	10.89 +or- 0.11	11.44 +or- 0.22	
54891	EGS 2	214.92122	52.8878	1.081	232 +or- 37	1.27	3.2	0.73	10.72 +or- 0.06	10.90 +or- 0.14	
995752	COSMOS 1	150.16466	2.2783	1.085	199 +or- 44	1.20	4.0	0.78	10.27 +or- 0.05	10.74 +or- 0.20	
31377	COSMOS 4	150.05580	2.2718	1.085	133 +or- 18	4.88	4.9	0.63	10.83 +or- 0.09	11.00 +or- 0.13	
13393	COSMOS 3	150.06162	2.3881	1.097	175 +or- 21	7.18	3.5	0.80	11.16 +or- 0.05	11.41 +or- 0.12	
16343	COSMOS 3	150.09793	2.4468	1.098	290 +or- 8	1.95	8.0	0.65	11.04 +or- 0.03	11.28 +or- 0.05	
10979	COSMOS 3	150.16008	2.3488	1.101	213 +or- 116	2.02	1.9	0.18	10.66 +or- 0.08	11.03 +or- 0.47	
28656	EGS 1	214.67508	52.7163	1.101	251 +or- 15	2.77	5.4	0.70	11.08 +or- 0.08	11.31 +or- 0.07	
32591^a	N10 (SSA22)	334.35290	0.2734	1.110	245 +or- 10	4.40	2.4	0.86	11.22 +or- 0.11	11.49 +or- 0.06	
21715^b	N10 (EGS)	214.97000	52.9910	1.113	109 +or- 8	1.99	4.0	0.77	10.83 +or- 0.07	10.44 +or- 0.08	
21657	N10 (EGS)	215.00590	52.9754	1.125	270 +or- 13	2.14	2.5	0.74	10.97 +or- 0.09	11.26 +or- 0.06	
12988	COSMOS 3	150.11500	2.3810	1.144	183 +or- 16	2.70	3.1	0.84	10.94 +or- 0.05	11.02 +or- 0.09	
3335	COSMOS 4	150.11756	2.2226	1.146	121 +or- 19	1.33	5.1	0.61	10.67 +or- 0.04	10.35 +or- 0.14	
1672	COSMOS 4	150.11025	2.1940	1.147	131 +or- 37	5.83	1.9	0.35	11.04 +or- 0.05	11.07 +or- 0.25	
21870	N10 (EGS)	214.98450	52.9613	1.179	230 +or- 12	3.36	5.5	0.80	11.02 +or- 0.07	11.32 +or- 0.06	
1241357	COSMOS 1	150.11053	2.3235	1.188	207 +or- 13	1.06	5.0	0.43	10.86 +or- 0.04	10.72 +or- 0.07	
41327	EGS 2	214.86345	52.8040	1.192	324 +or- 41	1.17	2.9	0.35	10.80 +or- 0.05	11.16 +or- 0.12	
33887	EGS 1	214.77293	52.7556	1.193	162 +or- 33	3.76	2.1	0.75	10.74 +or- 0.11	11.06 +or- 0.18	
35232	EGS 1	214.73653	52.7618	1.216	191 +or- 19	1.01	3.6	0.77	10.56 +or- 0.04	10.63 +or- 0.10	
3346	COSMOS 4	150.11237	2.2223	1.217	185 +or- 22	2.62	1.2	0.64	10.81 +or- 0.05	11.02 +or- 0.11	
3867	GOODS-S 1	53.10946	-27.7641	1.223	184 +or- 27	2.74	6.7	0.72	10.67 +or- 0.08	11.03 +or- 0.14	
21684	N10 (EGS)	214.98130	52.9500	1.224	131 +or- 23	0.95	2.2	0.80	10.55 +or- 0.08	10.28 +or- 0.16	
34609	COSMOS 2	150.16114	2.5049	1.241	279 +or- 159	6.51	8.0	0.67	11.04 +or- 0.08	11.77 +or- 0.50	
21750	N10 (EGS)	215.03490	52.9829	1.242	264 +or- 16	2.59	5.2	0.57	11.03 +or- 0.07	11.32 +or- 0.07	
7662	N10 (GOODS-N)	189.26810	62.2264	1.244	293 +or- 37	0.98	3.1	0.35	10.92 +or- 0.07	10.99 +or- 0.12	
18249	COSMOS 2	150.10303	2.4821	1.252	286 +or- 109	1.60	1.1	0.16	10.77 +or- 0.04	11.18 +or- 0.33	
7310	COSMOS 4	150.05791	2.2904	1.255	176 +or- 16	4.34	3.8	0.87	11.13 +or- 0.07	11.19 +or- 0.09	
13073	COSMOS 3	150.12479	2.3823	1.258	265 +or- 12	1.20	2.8	0.50	10.97 +or- 0.03	10.99 +or- 0.06	
32933	COSMOS 3	150.09624	2.3770	1.259	131 +or- 19	0.91	2.5	0.56	10.50 +or- 0.05	10.26 +or- 0.13	
30822	COSMOS 4	150.09089	2.2252	1.259	271 +or- 25	1.82	2.5	0.68	10.96 +or- 0.07	11.19 +or- 0.09	
1244914	COSMOS 1	150.17400	2.3010	1.261	252 +or- 13	4.99	5.5	0.79	11.18 +or- 0.07	11.57 +or- 0.06	
