#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-07-08T11:06:00 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-07-08T11:06:00	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJ/771/85/table4&-out.all&-out.max=999	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_17710085
#Name: J/ApJ/771/85
#Title: Dynamical masses of z~2 quiescent galaxies (van de Sande+, 2013)
#INFO	ivoid=ivo://cds.vizier/j/apj/771/85	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/771/85	    IVOID of underlying data collection
#INFO	creator=van de Sande J.	    First author or institution
#INFO	cites=bibcode:2013ApJ...771...85V	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2013	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/771/85	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.17710085	    Dataset identifier that can be used for citation
#INFO	publication_date=2018-01-05	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_771_85_table4:
#Name: J/ApJ/771/85/table4
#Title: Compilation of masses and structural parameters for high-redshift galaxies
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Ref	(I1)	? Paper Reference (1)	[ucd=meta.ref;pos.frame]
#Column	ID	(a6)	Galaxy ID as given in Paper	[ucd=meta.id;meta.main]
#Column	f_ID	(A1)	Flag on ID (2)	[ucd=meta.code]
#Column	zsp	(F6.3)	[0.8/2.2] Spectroscopic redshift	[ucd=src.redshift]
#Column	re	(F5.2)	[0.6/14] Physical circularized radius	[ucd=phys.size.radius]
#Column	e_re	(F5.2)	Error re	[ucd=stat.error]
#Column	n	(F5.2)	[1.4/5.3] Sersic index	[ucd=stat.fit.param]
#Column	e_n	(F5.2)	Error in n	[ucd=stat.error]
#Column	q	(F6.2)	[0/1]? Axis ratio q=b/a	[ucd=phys.size.axisRatio]
#Column	e_q	(F6.2)	? Error in q	[ucd=stat.error]
#Column	sigma	(I3)	[96/544] Effective velocity dispersion {sigma}	[ucd=phys.veloc.dispersion]
#Column	E_sigma	(I3)	Upper error for sigma	[ucd=stat.error;stat.max]
#Column	e_sigma	(I3)	Lower error for sigma	[ucd=stat.error]
#Column	ap.c	(F6.3)	[0.9/1.3] Aperture correction factor on sigma	[ucd=instr.param]
#Column	kn	(F5.2)	[5/8] Dynamical virial constant {beta}(n) (3)	[ucd=stat.fit.param]
#Column	logMdyn	(F5.2)	[10.3/12.3] Log of dynamical mass	[ucd=phys.mass]
#Column	E_logMdyn	(F5.2)	Upper error in logMdyn	[ucd=stat.error;stat.max]
#Column	e_logMdyn	(F5.2)	Lower error in logMdyn	[ucd=stat.error]
#Column	logM*	(F5.2)	[10.5/12] Log of stellar mass	[ucd=phys.mass]
#Column	Filt	(A6)	Filter used to derive the effective radius (F160W, F775W, F814W, F850LP or K)	[ucd=instr.setup;instr.filter]
#Column	NMBS	(I3)	Cross-match within 1" with the NEWFIRM MBS catalog (J/ApJ/735/86)	[ucd=meta.ref.url]
#Column	SimbadName	(a19)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA	(F9.5)	Positions from Table 2; or from references and references therein in Note (1) (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Positions from Table 2; or from references and references therein in Note (1) (declination part)	[ucd=pos.eq.dec;meta.main]
recno	Ref	ID	f_ID	zsp	re	e_re	n	e_n	q	e_q	sigma	E_sigma	e_sigma	ap.c	kn	logMdyn	E_logMdyn	e_logMdyn	logM*	Filt	NMBS	SimbadName	_RA	_DE
 	 	 	 	 	kpc	kpc	 	 	 	 	km/s	km/s	km/s	 	 	[Msun]	[Msun]	[Msun]	[Msun]	 	 	 	deg	deg
--------	-	------	-	------	-----	-----	-----	-----	------	------	---	---	---	------	-----	-----	-----	-----	-----	------	---	-------------------	---------	---------
       1	0	7447  	 	 1.800	 1.75	 0.21	 5.27	 0.23	  0.71	  0.01	287	 55	 52	 1.048	 5.16	11.24	 0.13	 0.12	11.22	F160W 	  1	                   	150.02900	+02.29271
       2	0	18265 	 	 1.583	 0.97	 0.12	 2.97	 0.06	  0.26	  0.01	401	 78	 66	 1.065	 6.61	11.38	 0.13	 0.11	11.32	F160W 	  1	                   	150.17012	+02.48115
       3	0	7865  	 	 2.091	 2.65	 0.33	 4.82	 0.15	  0.83	  0.01	446	 54	 59	 1.031	 5.42	11.82	 0.09	 0.09	11.64	F160W 	  1	                   	150.07387	+02.29799
       4	0	19627 	 	 2.036	 1.32	 0.17	 3.61	 0.73	  0.48	  0.06	304	 43	 39	 1.059	 6.18	11.24	 0.10	 0.09	11.20	K     	  0	                   	034.57108	-05.36079
       5	0	29410 	 	 1.456	 1.83	 0.23	 2.59	 0.03	  0.54	  0.00	372	114	 90	 1.045	 6.88	11.61	 0.20	 0.16	11.24	F160W 	  0	                   	034.46342	-05.27273
       6	1	17300 	c	 1.423	 2.89	 0.51	 5.29	 0.20	      	      	295	  8	  8	 1.240	 5.15	11.41	 0.07	 0.07	11.24	F160W 	  1	                   	214.22000	+52.71220
       7	1	21129 	c	 1.584	 1.52	 0.27	 5.00	 0.20	      	      	301	 10	 10	 1.020	 5.31	11.15	 0.07	 0.07	11.24	F160W 	  1	                   	214.19299	+52.78600
       8	1	22260 	c	 1.240	 9.37	 1.64	 4.06	 0.20	      	      	256	 16	 16	 1.020	 5.89	11.87	 0.07	 0.07	11.41	F160W 	  1	                   	149.81799	+02.56161
       9	1	21434 	c	 1.522	 1.86	 0.33	 3.13	 0.20	      	      	250	 17	 17	 1.250	 6.51	11.16	 0.08	 0.08	11.27	F160W 	  1	                   	149.81599	+02.54929
      10	1	20866 	c	 1.522	 2.42	 0.42	 3.04	 0.20	      	      	306	 24	 24	 1.000	 6.57	11.47	 0.08	 0.08	11.34	F160W 	  1	                   	149.80099	+02.53799
      11	1	53937 	c	 1.621	 0.79	 0.14	 3.67	 0.20	      	      	280	 21	 21	 1.050	 6.15	10.84	 0.08	 0.08	10.90	F160W 	  0	                   	034.58650	-05.05994
      12	2	1255  	 	 2.186	 0.78	 0.17	 3.20	 0.20	      	      	544	176	101	 1.066	 6.46	11.54	 0.21	 0.13	11.26	F160W 	  0	[QMV2007] 1255 0   	193.74833	+01.19167
      13	3	254025	 	 1.823	 3.16	 0.60	 3.36	 0.20	      	      	270	105	108	 1.026	 6.35	11.55	 0.18	 0.18	11.39	F775W 	  0	[ORC2012] 254025   	150.61871	+02.03714
      14	4	2239  	 	 1.415	 2.09	 0.20	 4.00	 0.20	      	      	111	 35	 35	 1.000	 5.93	10.55	 0.07	 0.07	10.54	F850LP	  0	GMASS 2239         	053.13048	-27.72116
      15	4	2470  	 	 1.415	 1.53	 0.20	 4.00	 0.20	      	      	141	 26	 26	 1.000	 5.93	10.62	 0.07	 0.07	10.71	F850LP	  0	GMASS 2470         	053.14214	-27.71124
      16	5	E1    	 	 1.054	 6.44	 0.97	 4.00	 0.20	      	      	204	 22	 22	 0.979	 5.93	11.57	 0.12	 0.12	11.07	F814W 	  0	[NET2010] E1       	214.98504	+52.95121
      17	5	S1    	 	 1.110	 4.74	 0.71	 4.00	 0.20	      	      	220	 13	 13	 0.996	 5.93	11.50	 0.08	 0.08	11.29	F814W 	  0	[NET2010] S1       	334.35292	+00.27333
      18	5	E2    	 	 1.113	 4.02	 0.60	 4.00	 0.20	      	      	137	 11	 11	 1.005	 5.93	11.02	 0.09	 0.09	10.89	F814W 	  0	[NET2010] E2       	214.96992	+52.99100
